codigo_articulo_proveedor,tipo_repuesto_id,valor,marca_id,fecha_costo,estado_id
3466-AC+15 STD,1,387,2,2020-08-08,1
3466-AC+5 STD,1,451,2,2020-08-08,1
3468-AN,1,466,2,2020-08-08,1
3470-AC,1,394,2,2020-08-08,1
3482-AB,1,1064,2,2020-08-08,1
3484-A,1,338,2,2020-08-08,1
3486-A,1,348,2,2020-08-08,1
3488-AS,1,379,2,2020-08-08,1
3490-AN,1,918,2,2020-08-08,1
3496-A,1,1371,2,2020-08-08,1
3498-A,1,728,2,2020-08-08,1
3498-AC,1,728,2,2020-08-08,1
349-A,1,1368,2,2020-08-08,1
3500-AC,1,383,2,2020-08-08,1
3508-A,1,501,2,2020-08-08,1
3510-ACB,1,428,2,2020-08-08,1
3512-A,1,415,2,2020-08-08,1
3514-AC,1,379,2,2020-08-08,1
3516-AC,1,1733,2,2020-08-08,1
351-A,1,880,2,2020-08-08,1
3520-AN,1,474,2,2020-08-08,1
3522-AN,1,343,2,2020-08-08,1
3524-A,1,399,2,2020-08-08,1
3526-A,1,368,2,2020-08-08,1
3528-AN,1,1040,2,2020-08-08,1
3532-AN,1,975,2,2020-08-08,1
3534-AC,1,1353,2,2020-08-08,1
3538-AC,1,518,2,2020-08-08,1
3540-A,1,379,2,2020-08-08,1
3542-A,1,414,2,2020-08-08,1
3544-A,1,474,2,2020-08-08,1
3546-AC,1,404,2,2020-08-08,1
3548-APN,1,1042,2,2020-08-08,1
3558-AC,1,409,2,2020-08-08,1
3560-AB,1,602,2,2020-08-08,1
3564-A,1,450,2,2020-08-08,1
3570-AN,1,487,2,2020-08-08,1
3576-A,1,768,2,2020-08-08,1
3578-AC,1,500,2,2020-08-08,1
3580-AN,1,451,2,2020-08-08,1
3584-ACBS,1,1194,2,2020-08-08,1
3586-ACB,1,404,2,2020-08-08,1
3594-AN,1,557,2,2020-08-08,1
3598-A,1,379,2,2020-08-08,1
3600-AC,1,427,2,2020-08-08,1
3602-A,1,382,2,2020-08-08,1
3612-AC,1,1331,2,2020-08-08,1
3614-AC,1,1074,2,2020-08-08,1
3616-A,1,334,2,2020-08-08,1
3618-AC,1,635,2,2020-08-08,1
3618-AC+15,1,691,2,2020-08-08,1
3618-AC+30,1,1461,2,2020-08-08,1
3620-A,1,285,2,2020-08-08,1
3624-AC,1,359,2,2020-08-08,1
3626-A,1,833,2,2020-08-08,1
3628-AN,1,678,2,2020-08-08,1
3630-AN,1,742,2,2020-08-08,1
3632-AC,1,774,2,2020-08-08,1
363-AC,1,270,2,2020-08-08,1
3642-AC,1,907,2,2020-08-08,1
3654-A,1,487,2,2020-08-08,1
3658-AN,1,429,2,2020-08-08,1
3662-ACB,1,817,2,2020-08-08,1
366-AB,1,1115,2,2020-08-08,1
3674-AC,1,1039,2,2020-08-08,1
367-AC,1,365,2,2020-08-08,1
367-AC+10,1,445,2,2020-08-08,1
367-AC+15,1,570,2,2020-08-08,1
367-AC+30,1,852,2,2020-08-08,1
367-AC+5,1,378,2,2020-08-08,1
3700-AC,1,1008,2,2020-08-08,1
3704-AC,1,446,2,2020-08-08,1
3706-AC,1,503,2,2020-08-08,1
3710-AC,1,987,2,2020-08-08,1
3714-A,1,405,2,2020-08-08,1
3716-AC,1,490,2,2020-08-08,1
3718-AN,1,1235,2,2020-08-08,1
3720-AN,1,580,2,2020-08-08,1
3726-AC,1,643,2,2020-08-08,1
3730-AC,1,1286,2,2020-08-08,1
3736-AC,1,437,2,2020-08-08,1
3738-AN,1,520,2,2020-08-08,1
3760-AC,1,936,2,2020-08-08,1
3764-AN,1,1371,2,2020-08-08,1
3766-AN,1,1371,2,2020-08-08,1
3770-AN,1,1468,2,2020-08-08,1
3772-APN,1,486,2,2020-08-08,1
3774-AC,1,883,2,2020-08-08,1
3778-AN,1,616,2,2020-08-08,1
3782-AC,1,665,2,2020-08-08,1
3784-ACB,1,1691,2,2020-08-08,1
